电影名称,导演,主演,电影类型,国家,上映年份,片长,评分,评论人数,全球票房
The Shawshank Redemption,Frank Darabont,Tim Robbins / Morgan Freeman / Bob Gunton,Drama,United States,1994,2h 22m,9.3,3.1M,"$29,333,735"
The Godfather,Francis Ford Coppola,Marlon Brando / Al Pacino / James Caan,Crime/Drama,United States,1972,2h 55m,9.2,2.1M,"$250,342,198"
The Dark Knight,Christopher Nolan,Christian Bale / Heath Ledger / Aaron Eckhart,Action/Crime/Drama,United States/United Kingdom,2008,2h 32m,9.0,3M,"$1,009,057,329"
The Godfather Part II,Francis Ford Coppola,Al Pacino / Robert De Niro / Robert Duvall,Crime/Drama,United States,1974,3h 22m,9.0,1.4M,"$47,983,687"
12 Angry Men,Sidney Lumet,Henry Fonda / Lee J. Cobb / Martin Balsam,Crime/Drama,United States,1957,1h 36m,9.0,936K,"$2,945"
The Lord of the Rings: The Return of the King,Peter Jackson,Elijah Wood / Viggo Mortensen / Ian McKellen,Adventure/Drama/Fantasy,New Zealand/United States,2003,3h 21m,9.0,2.1M,"$1,138,585,547"
Schindler's List,Steven Spielberg,Liam Neeson / Ralph Fiennes / Ben Kingsley,Biography/Drama/History,United States,1993,3h 15m,9.0,1.5M,"$322,161,245"
Pulp Fiction,Quentin Tarantino,John Travolta / Uma Thurman / Samuel L. Jackson,Crime/Drama,United States,1994,2h 34m,8.8,2.4M,"$213,928,762"
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,Elijah Wood / Ian McKellen / Orlando Bloom,Adventure/Drama/Fantasy,New Zealand/United States/United Kingdom,2001,2h 58m,8.9,2.1M,"$888,483,037"
"Il buono, il brutto, il cattivo",Sergio Leone,Clint Eastwood / Eli Wallach / Lee Van Cleef,Adventure/Drama/Western,Italy/Spain/West Germany/United States,1966,2h 41m,8.8,861K,"$25,266,106"
Forrest Gump,Robert Zemeckis,Tom Hanks / Robin Wright / Gary Sinise,Drama/Romance,United States,1994,2h 22m,8.8,2.4M,"$678,226,465"
The Lord of the Rings: The Two Towers,Peter Jackson,Elijah Wood / Ian McKellen / Viggo Mortensen,Adventure/Drama/Fantasy,New Zealand/United States,2002,2h 59m,8.8,1.9M,"$938,532,865"
Fight Club,David Fincher,Brad Pitt / Edward Norton / Meat Loaf,Crime/Drama/Thriller,United States/Germany,1999,2h 19m,8.8,2.5M,"$101,321,009"
Inception,Christopher Nolan,Leonardo DiCaprio / Joseph Gordon-Levitt / Elliot Page,Action/Adventure/Sci-Fi,United States/United Kingdom,2010,2h 28m,8.8,2.7M,"$839,381,898"
Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner,Mark Hamill / Harrison Ford / Carrie Fisher,Action/Adventure/Fantasy,United States,1980,2h 4m,8.7,1.5M,"$550,016,086"
The Matrix,Lana Wachowski,Keanu Reeves / Laurence Fishburne / Carrie-Anne Moss,Action/Sci-Fi,United States/Australia,1999,2h 16m,8.7,2.2M,"$467,841,735"
GoodFellas,Martin Scorsese,Robert De Niro / Ray Liotta / Joe Pesci,Biography/Crime/Drama,United States,1990,2h 25m,8.7,1.3M,"$47,068,004"
Interstellar,Christopher Nolan,Matthew McConaughey / Anne Hathaway / Jessica Chastain,Adventure/Drama/Sci-Fi,United States/United Kingdom/Canada,2014,2h 49m,8.7,2.4M,"$758,690,230"
One Flew Over the Cuckoo's Nest,Milos Forman,Jack Nicholson / Louise Fletcher / Michael Berryman,Drama,United States,1975,2h 13m,8.7,1.1M,"$109,116,594"
Se7en,David Fincher,Morgan Freeman / Brad Pitt / Kevin Spacey,Crime/Drama/Mystery,United States,1995,2h 7m,8.6,1.9M,"$328,983,304"
