排名,电影名称,导演,主演,电影类型,国家,上映年份,片长,评分,评论人数,全球票房
1,肖申克的救赎,Frank Darabont,Tim Robbins / Morgan Freeman / Bob Gunton,剧情,美国,1994,2小时 22分钟,9.3,3100000 ,"$29,333,735 "
2,教父,Francis Ford Coppola,Marlon Brando / Al Pacino / James Caan,犯罪/剧情,美国,1972,2小时 55分钟,9.2,2100000 ,"$250,342,198 "
3,蝙蝠侠：黑暗骑士,Christopher Nolan,Christian Bale / Heath Ledger / Aaron Eckhart,动作/犯罪/剧情,美国/英国,2008,2小时 32分钟,9,3000000 ,"$1,009,057,329 "
4,教父2,Francis Ford Coppola,Al Pacino / Robert De Niro / Robert Duvall,犯罪/剧情,美国,1974,3小时 22分钟,9,1400000 ,"$47,983,687 "
5,十二怒汉,Sidney Lumet,Henry Fonda / Lee J. Cobb / Martin Balsam,犯罪/剧情,美国,1957,1小时 36分钟,9,936000 ,"$2,945 "
6,指环王3：王者归来,Peter Jackson,Elijah Wood / Viggo Mortensen / Ian McKellen,冒险/剧情/奇幻,新西兰/美国,2003,3小时 21分钟,9,2100000 ,"$1,138,585,547 "
7,辛德勒的名单,Steven Spielberg,Liam Neeson / Ralph Fiennes / Ben Kingsley,传记/剧情/历史,美国,1993,3小时 15分钟,9,1500000 ,"$322,161,245 "
8,低俗小说,Quentin Tarantino,John Travolta / Uma Thurman / Samuel L. Jackson,犯罪/剧情,美国,1994,2小时 34分钟,8.8,2400000 ,"$213,928,762 "
9,指环王1：护戒使者,Peter Jackson,Elijah Wood / Ian McKellen / Orlando Bloom,冒险/剧情/奇幻,新西兰/美国/英国,2001,2小时 58分钟,8.9,2100000 ,"$888,483,037 "
10,黄金三镖客,Sergio Leone,Clint Eastwood / Eli Wallach / Lee Van Cleef,冒险/剧情/西部,意大利/西班牙/西德/美国,1966,2小时 41分钟,8.8,861000 ,"$25,266,106 "
11,阿甘正传,Robert Zemeckis,Tom Hanks / Robin Wright / Gary Sinise,剧情/爱情,美国,1994,2小时 22分钟,8.8,2400000 ,"$678,226,465 "
12,指环王2：双塔奇兵,Peter Jackson,Elijah Wood / Ian McKellen / Viggo Mortensen,冒险/剧情/奇幻,新西兰/美国,2002,2小时 59分钟,8.8,1900000 ,"$938,532,865 "
13,搏击俱乐部,David Fincher,Brad Pitt / Edward Norton / Meat Loaf,犯罪/剧情/惊悚,美国/德国,1999,2小时 19分钟,8.8,2500000 ,"$101,321,009 "
14,盗梦空间,Christopher Nolan,Leonardo DiCaprio / Joseph Gordon-Levitt / Elliot Page,动作/冒险/科幻,美国/英国,2010,2小时 28分钟,8.8,2700000 ,"$839,381,898 "
15,星球大战5：帝国反击战,Irvin Kershner,Mark Hamill / Harrison Ford / Carrie Fisher,动作/冒险/奇幻,美国,1980,2小时 4分钟,8.7,1500000 ,"$550,016,086 "
16,黑客帝国,Lana Wachowski,Keanu Reeves / Laurence Fishburne / Carrie-Anne Moss,动作/科幻,美国/澳大利亚,1999,2小时 16分钟,8.7,2200000 ,"$467,841,735 "
