电影名称,排名,导演,电影类型,国家,上映年份,片长,评分,五星,四星,三星,二星,一星,评论人数
肖申克的救赎,No.1,弗兰克·德拉邦特,剧情/犯罪,美国,1994,142分钟,9.7,85.70%,12.80%,1.30%,0.10%,0.10%,3184128
霸王别姬,No.2,陈凯歌,剧情/爱情/同性,中国大陆 / 中国香港,1993,片长:,9.6,82.50%,15.20%,1.90%,0.20%,0.20%,2351250
泰坦尼克号,No.3,詹姆斯·卡梅隆,剧情/爱情/灾难,美国 / 墨西哥,1997,1997-11-01(东京电影节),9.5,76.90%,19.90%,2.90%,0.20%,0.10%,2416503
阿甘正传,No.4,罗伯特·泽米吉斯,剧情/爱情,美国,1994,142分钟,9.5,76.90%,19.90%,2.80%,0.20%,0.10%,2363624
千与千寻,No.5,宫崎骏,剧情/动画/奇幻,日本,2001,2001-07-20(日本),9.4,73.60%,22.80%,3.30%,0.20%,0.10%,2459037
美丽人生,No.6,罗伯托·贝尼尼,剧情/喜剧/爱情/战争,意大利,1997,1997-12-20(意大利),9.5,80.20%,17.00%,2.30%,0.20%,0.20%,1441279
这个杀手不太冷,No.7,吕克·贝松,剧情/动作/犯罪,法国 / 美国,1994,片长:,9.4,72.80%,23.00%,3.70%,0.30%,0.20%,2491701
星际穿越,No.8,克里斯托弗·诺兰,剧情/科幻/冒险,美国 / 英国 / 加拿大,2014,2014-11-07(美国),9.4,75.90%,20.00%,3.60%,0.30%,0.20%,2093580
盗梦空间,No.9,克里斯托弗·诺兰,剧情/科幻/悬疑/冒险,美国 / 英国,2010,2020-08-28(中国大陆重映),9.4,72.80%,23.30%,3.50%,0.20%,0.10%,2259161
楚门的世界,No.10,彼得·威尔,剧情/科幻,美国,1998,又名:,9.4,72.60%,23.90%,3.30%,0.20%,0.10%,1943386
辛德勒的名单,No.11,史蒂文·斯皮尔伯格,剧情/历史/战争,美国,1993,片长:,9.5,80.20%,17.30%,2.10%,0.10%,0.20%,1215936
忠犬八公的故事,No.12,拉斯·霍尔斯道姆,剧情,美国 / 英国,2009,又名:,9.4,74.90%,21.10%,3.60%,0.30%,0.10%,1505274
海上钢琴师,No.13,朱塞佩·托纳多雷,剧情/音乐,意大利,1998,片长:,9.3,71.00%,24.00%,4.40%,0.40%,0.20%,1830986
三傻大闹宝莱坞,No.14,拉吉库马尔·希拉尼,剧情/喜剧/爱情/歌舞,印度,2009,2009-12-25(印度),9.2,68.90%,25.40%,5.00%,0.50%,0.20%,2021786
疯狂动物城,No.15,拜伦·霍华德,喜剧/动画/冒险,美国,2016,片长:,9.2,67.20%,28.20%,4.30%,0.20%,0.10%,2180061
放牛班的春天,No.16,克里斯托夫·巴哈蒂,剧情/音乐,法国 / 瑞士 / 德国,2004,片长:,9.3,71.00%,25.20%,3.50%,0.20%,0.10%,1433962
机器人总动员,No.17,安德鲁·斯坦顿,科幻/动画/冒险,美国,2008,片长:,9.3,71.90%,23.80%,4.00%,0.20%,0.10%,1442921
无间道,No.18,刘伟强,剧情/惊悚/犯罪,中国香港,2002,片长:,9.3,69.60%,26.40%,3.80%,0.20%,0.10%,1515203
控方证人,No.19,比利·怀尔德,剧情/悬疑/惊悚/犯罪,美国,1957,片长:,9.6,82.20%,15.90%,1.70%,0.10%,0.10%,674552
大话西游之大圣娶亲,No.20,刘镇伟,喜剧/爱情/奇幻/古装,中国香港 / 中国大陆,1995,2017-04-13(中国大陆重映),9.2,66.90%,26.30%,6.00%,0.50%,0.30%,1665613
熔炉,No.21,黄东赫,剧情,韩国,2011,IMDb:,9.3,71.40%,24.90%,3.30%,0.20%,0.10%,1011572
触不可及,No.22,奥利维埃·纳卡什,剧情/喜剧,法国,2011,又名:,9.3,68.80%,26.70%,4.10%,0.30%,0.10%,1251797
教父,No.23,弗朗西斯·福特·科波拉,剧情/犯罪,美国,1972,175 分钟,9.3,72.10%,22.70%,4.60%,0.40%,0.20%,1069858
寻梦环游记,No.24,李·昂克里奇,喜剧/动画/音乐/奇幻,美国,2017,2020-07-20(中国大陆重映),9.1,62.70%,30.10%,6.70%,0.40%,0.20%,1901331
当幸福来敲门,No.25,加布里埃莱·穆奇诺,剧情/家庭/传记,美国,2006,2006-12-15(美国),9.1,64.70%,28.90%,5.80%,0.40%,0.20%,1645867
末代皇帝,No.26,贝纳尔多·贝托鲁奇,剧情/传记/历史,英国 / 意大利 / 中国大陆 / 法国,1987,片长:,9.3,70.60%,25.10%,3.90%,0.30%,0.10%,994249
哈利·波特与魔法石,No.27,克里斯·哥伦布,奇幻/冒险,美国 / 英国,2001,2024-10-11(中国大陆重映),9.2,66.10%,27.90%,5.50%,0.30%,0.10%,1368660
龙猫,No.28,宫崎骏,动画/奇幻/冒险,日本,1988,片长:,9.2,64.40%,29.40%,5.80%,0.20%,0.10%,1375506
怦然心动,No.29,罗伯·莱纳,剧情/喜剧/爱情,美国,2010,2010-09-10(美国),9.1,62.00%,30.40%,6.90%,0.60%,0.20%,1996923
活着,No.30,张艺谋,剧情/家庭/历史,中国大陆 / 中国香港,1994,片长:,9.3,70.40%,25.30%,3.90%,0.30%,0.10%,940458
